OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Street Address,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
15,2015,NonResidential,Hotel,HOTEL MONACO,942000145,Corniche Street,7,DOWNTOWN,1969,1,11,153163,19279,133884,,,,,,,,,48,101.1,107.2,200.8,205.2,14719853,15615929,3623542,1857347,6337531,47590,4759044,0,576.63,3.59,No,,Compliant,,,14,,19,18081
16,2015,NonResidential,Hotel,W SEATTLE HOTEL,942000165,"Najda Street, Higher Colleges of Technology",7,DOWNTOWN,1998,1,25,333176,61161,272015,Hotel,Hotel,336640,,,,,,32,82.3,83.1,207.2,208,27717026,27970822,5426396,5585560,19058722,32327,3232700,0,723.4,1.93,No,,Compliant,,,14,,19,18081
17,2015,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,942000210,"Khalidiya St., Beside Union Cooperative Society",7,DOWNTOWN,1928,1,9,65009,0,65009,Hotel,Hotel,65009,,,,,,39,104.7,96.8,166.5,158.2,6807227,6292213,1987163,473326,1615057,32051,3205074,0,334.87,5.04,No,,Compliant,,,14,,19,18081
18,2015,NonResidential,Hotel,CROWNE PLAZA,942000235,"Capital Center, Adnec, Abu Dhabi",7,DOWNTOWN,1980,1,33,315952,57600,258352,"Hotel, Parking",Hotel,295511,Parking,57600,,,,56,77.2,77.2,183.2,183.2,22811690,22811690,4731090,4129637,14090906,39903,3990280,0,675.34,1.95,Yes,,Compliant,,,14,,19,18081
19,2015,NonResidential,Hotel,HOTEL VINTAGE PARK,942000265,YAS Island,7,DOWNTOWN,1922,1,11,67390,0,67390,,,,,,,,,14,166.1,175.7,317.4,326,10711451,11329230,4403788,1198487,4089407,22184,2218425,0,486.25,6.95,No,,Compliant,,,14,,19,18081
21,2015,Nonresidential COS,Other,SEATTLE CENTRAL LIBRARY,942000275,"Street No.4, Muroor Road, Ground Floor",7,DOWNTOWN,2004,1,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913,Parking,49000,Data Center,1074,,,46,45.3,140.8,137.6,16849234,16594622,703184,4732136,16146718,0,0,0,166.84,0.24,No,,Compliant,,,14,,19,18379
22,2015,NonResidential,Other,DOWNTOWN SEATTLE YMCA,942000350,"Corniche  Road , Abu Dhabi",7,DOWNTOWN,1930,1,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000,Office,40000,Swimming Pool,0,,,79.5,83.4,173.7,178.4,10340282,10843936,4398022,1549824,5288219,6543,654260,0,411.09,3.74,No,,Compliant,,,14,,19,18379
23,2015,NonResidential,Hotel,RENAISSANCE MADISON HOTEL,942000430,"Street No.26 of Khalidiya Area, Ground Floor, Shop No. A11",7,DOWNTOWN,1983,1,28,416281,85000,331281,"Hotel, Parking",Hotel,348329,Parking,85000,,,,30,95.5,97.4,231.9,234.7,33270518,33922016,0,6427712,21932264,113392,11339166,0,755.12,1.59,No,,Compliant,,,14,,19,18379
24,2015,NonResidential,Mixed Use Property,RAINIER CLUB (HISTORICAL LANDMARK),942000510,"11th Street, Ground Floor, Main Entrance",7,DOWNTOWN,1907,1,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442,Restaurant,15505,Office,9741,,,130.2,140.2,278.7,290.2,7481768,8052425,1755365,1106043,3773975,19526,1952583,0,265.5,4.34,No,,Compliant,,,14,,19,18379
25,2015,NonResidential,Hotel,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,942000610,"Salam Street, Ministries District",7,DOWNTOWN,1916,1,10,104352,0,104352,,,,,,,,,83,75.2,74.9,119.5,118.6,7845112,7816594,3205497,524792,1790665,28490,2849024,0,411.22,3.87,No,,Compliant,,,14,,19,18379
26,2015,NonResidential,Other,KING COUNTY COURTHOUSE,942000860,"Shangri-La Souk, Um Al Nar",7,DOWNTOWN,1916,1,10,540360,0,540360,Courthouse,Courthouse,537150,,,,,,67,99.3,103.1,208.5,210.4,53332648,55378956,0,7853984,26798906,265349,26534856,0,1596.08,2.74,No,,Compliant,,,14,,20,18379
27,2015,NonResidential,Other,KING COUNTY CORRECTIONAL FACILITY,942001010,"Muroor Street, Abu Dhabi Mall",3,DOWNTOWN,1985,1,19,385274,0,385274,Other,Other,385274,,,,,,,132.1,136.1,245.5,243.9,50899248,52435544,0,5766838,19677268,312228,31222797,0,1795.42,4.44,No,,Compliant,,,14,,19,18379
28,2015,SPS-District K-12,K-12 School,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),1102000138,"25th st, Airport Road",2,SOUTHEAST,1961,1,2,56228,0,56228,K-12 School,K-12 School,58320,,,,,,96,25.1,29.6,59.2,63.9,1454222,1716043,0,267181,911659,5426,542600,0,35.17,0.56,Yes,,Compliant,,,30,,43,18800
29,2015,NonResidential,Hotel,WATERTOWN HOTEL,1142000755,"Shams Abu Dhabi, Al Reem Island",4,NORTHEAST,2001,1,6,88592,30586,58006,"Hotel, Parking",Hotel,58006,Parking,30586,,,,85,66.9,66.3,151.5,149.7,3880806,3848493,0,660802,2254751,16261,1626149,0,102.08,1.04,No,,Compliant,,,60,,38,18383
30,2015,NonResidential,College/University,Cornish (Main Campus Center),660001420,Marina Mall,7,DOWNTOWN,1928,1,7,126593,0,126593,College/University,College/University,125000,,,,,,,78.3,90.9,158.9,172.1,9791557,11360926,0,1343046,4582663,52091,5209084,0,308.6,2.28,No,,Compliant,,,56,,7,19576
31,2015,NonResidential,Other,SEATTLE HONDA,660001725,"Road Al Ain Abu Dhabi Road Number 22, Women Side",7,DOWNTOWN,1930,1,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224,,,,,,,20.7,20.7,64.9,64.9,1388717,1388717,0,407010,1388775,0,0,0,9.68,0.06,No,,Compliant,,,14,,31,18081
32,2015,NonResidential,Hotel,HOMEWOOD SUITES -SEATTLE - Hilton,660001832,Hamdan Street,7,EAST,1991,1,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676,Parking,42000,Retail Store,4500,,,44,46.3,55.7,58.1,5159342,5421759,0,156133,532747,46266,4626617,0,249.43,1.56,No,,Compliant,,,19,,12,18081
33,2015,NonResidential,Hotel,SPRINGHILL SUITES SEATTLE DOWNTOWN,660002680,Saadiyat Island,7,DOWNTOWN,2001,1,10,171866,38281,133585,Hotel,Hotel,128909,,,,,,20,85.5,86.7,183.3,180.9,11026945,11178456,0,1689143,5763595,52636,5263590,0,319.73,1.72,Yes,,Compliant,,,56,,10,18081
34,2015,SPS-District K-12,K-12 School,MEANY MIDDLE SCHOOL (SPS-DISTRICT),688000090,"Khalidiya Area Khalidiya street, Behind Union Bank and Finance House",3,CENTRAL,1955,1,1,126351,0,126351,K-12 School,K-12 School,126351,,,,,,57,49.7,64.4,84.2,102.4,6283226,8131874,0,566538,1933106,43502,4350200,0,244.51,1.87,No,,Compliant,,,35,,6,18789
35,2015,NonResidential,Hotel,Hotel Five,697000170,"Sheikh Zayed Road, Al Bahia Area",7,DOWNTOWN,1978,1,5,68410,16200,52210,Hotel,Hotel,47994,,,,,,60,90.5,90.5,194.1,194.1,4341706,4341706,0,667101,2276244,20656,2065556,0,125.57,1.69,No,,Compliant,,,56,,7,19576
36,2015,SPS-District K-12,K-12 School,JANE ADAMS JUNIOR HIGH (SPS-DISTRICT),752000170,"Al Salam Street, Tourist Club Area",5,NORTH,1949,1,2,160645,0,160645,K-12 School,K-12 School,164229,,,,,,80,38.9,50.9,62.6,77.2,6387710,8362498,0,501058,1709681,46781,4678100,0,260.37,1.58,Yes,,Compliant,,,29,,29,19579
37,2015,SPS-District K-12,K-12 School,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),809000005,Corner of 16th Street and Aiport Road,7,MAGNOLIA / QUEEN ANNE,1989,1,2,51582,0,51582,K-12 School,K-12 School,55166,,,,,,94,26.7,30.5,83.8,95.8,1472548,1682521,0,431579,1472609,0,0,0,10.27,0.08,Yes,,Compliant,,,50,,39,18390
38,2015,NonResidential,Small- and Mid-Sized Office,HOUSE OF GOOD SHEPHERD,825049008,Corner Al Ain Rd & Baniyas Rd,4,LAKE UNION,1906,1,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943,K-12 School,18153,Other - Entertainment/Public Assembly,4307,,,59.2,66.3,104.1,112.3,3988729,4470231,0,396679,1353524,26353,2635261,0,149.39,1.65,No,,Compliant,,,61,,3,18377
40,2015,NonResidential,Hotel,SILVER CLOUD INN UNIVERSITY,925049117,"31st Street, Danat Abu Dhabi",4,NORTHEAST,1994,1,4,81871,0,81871,Hotel,Hotel,81871,,,,,,20,90.6,93.8,178.5,181.8,7419765,7677473,0,957249,3266270,41536,4153630,0,243.37,2.8,No,,Compliant,,,53,,48,18383
41,2015,NonResidential,"Self-Storage Facility
",QFC / SHURGARD MINI STORAGE / LIQUOR STORE,925049330,Yas Island,4,NORTHEAST,1955,1,2,126394,0,126394,Self-Storage Facility,Self-Storage Facility,26225,,,,,,77,11.7,12.2,34,34.5,306721,319916,0,79930,272732,340,34000,0,3.71,0.02,No,,Compliant,,,53,,48,18383
46,2015,NonResidential,Distribution Center,SEATTLE WAREHOUSE OFFICE BUILDING,323049024,"Al Mamoura, Al Muroor District",2,GREATER DUWAMISH,1961,7,2,714095,0,714095,,,,,,,,,1,66.9,64.7,210,203.3,47843892,46313516,0,14022240,47845869,0,0,0,333.54,0.18,No,,Compliant,,,58,,37,18800
50,2015,SPS-District K-12,K-12 School,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),369000400,Khaleej Al Arabi Street,7,MAGNOLIA / QUEEN ANNE,1990,1,2,54986,0,54986,K-12 School,K-12 School,54986,,,,,2016,91,30.1,33.5,80.3,91,1655612,1842702,0,375707,1281965,3737,373700,0,28.78,0.42,No,,Compliant,,,33,,27,18235
51,2015,SPS-District K-12,K-12 School,ECKSTEIN MIDDLE (SPS-DISTRICT),425049022,Airport Road,4,NORTHEAST,1950,1,2,175565,0,175565,K-12 School,K-12 School,182861,,,,,,88,34.1,45.5,53.6,67.3,6227419,8317888,0,457772,1561983,46655,4665500,0,258.67,1.44,Yes,,Compliant,,,53,,48,18792
52,2015,NonResidential,Small- and Mid-Sized Office,SALMON BAY CENTER 5305 & 5309,467000429,"3th street Abudhabi (Al Najda Street), Beside Al Masood Nissan Show Room",6,BALLARD,1961,1,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586,Non-Refrigerated Warehouse,39314,,,,57,63.7,69.6,161.3,165.9,6043853,6605535,0,1257186,4289697,17543,1754334,0,123.08,1.1,No,,Compliant,,,4,,1,18386
53,2015,NonResidential,Small- and Mid-Sized Office,EL CENTRO DE LA RAZA,570000340,Al Falah Village 2 Centre,2,GREATER DUWAMISH,1900,1,2,52554,0,52554,"Office, Other - Education",Office,51029,Other - Education,7849,,,,93,36.3,37.2,81.6,84.5,2137686,2192109,0,359310,1226016,9117,911721,0,56.97,0.98,No,,Compliant,,,42,,41,17919
54,2015,NonResidential,K-12 School,BLANCHET HIGH SCHOOL,625049002,13th Street,6,NORTHWEST,1954,1,3,175015,0,175015,K-12 School,K-12 School,175015,,,,,,95,40.5,49.1,74.6,85.8,7080118,8596269,0,789588,2694187,43860,4386042,0,251.72,1.37,No,,Compliant,,,53,,25,18377
55,2015,NonResidential,"Self-Storage Facility
",MINI STG (OLD SKYWAY LUGGAGE CO),653000225,"Liwa Road, Madinat Zayed",7,DOWNTOWN,1911,1,3,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439,Vocational School,28197,Office,3859,,,30.5,33.7,79.6,82,2147062,2377595,0,471115,1607511,5396,539617,0,39.87,0.47,No,,Compliant,,,5,,9,19576
56,2015,NonResidential,Hotel,HILTON SEATTLE,1975700040,Raha Gardens Plaza,7,DOWNTOWN,1969,1,24,332210,205970,126240,Hotel,Hotel,348630,,,,,,68,44.9,44.9,121,121,15660628,15660628,0,3607318,12308680,33525,3352459,0,263.85,0.63,No,,Compliant,,,14,,24,18081
57,2015,NonResidential,Large Office,5th and Pine,1975700200,"Al Markhaniya , Al Ain, Al Markhaniya, Al Ain",7,DOWNTOWN,1973,1,5,168115,0,168115,"Data Center, Office, Retail Store",Office,103501,Retail Store,65676,Data Center,354,2016,79,54.3,54.3,170.7,170.7,9213841,9213841,0,2700422,9214222,0,0,0,64.23,0.15,No,,Compliant,,,14,,24,18081
58,2015,NonResidential,Retail Store,CENTURY SQUARE RETAIL,1975700365,"Sheikh Khalifa Bin Zayed Road, Jahli",7,DOWNTOWN,1920,1,2,57428,0,57428,"Non-Refrigerated Warehouse, Other, Retail Store",Retail Store,34617,Non-Refrigerated Warehouse,13028,Other,9783,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,Compliant,,,14,,24,18081
59,2015,NonResidential,Small- and Mid-Sized Office,GIBRALTAR TOWER,1975700380,"Al Ain Abu Dhabi Rd, Khalifa Bin Zayed, Al Makam Area",7,DOWNTOWN,1910,1,8,59400,0,59400,"Office, Retail Store",Office,34947,Retail Store,4993,,,,,98,109.4,307.9,343.5,3915947,4369220,0,1147698,3916108,0,0,0,27.3,0.18,No,,Compliant,,,14,,24,18081
60,2015,NonResidential,Mixed Use Property,MANN BUILDING/WILD GINGER/TRIPLE DOOR,1975700525,"Baladia Road, Opposite Passport Office",7,DOWNTOWN,1926,1,2,52549,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500,Restaurant,23500,Office,5459,,,297.1,316.4,522.8,537.1,15583947,16598244,0,1551526,5294026,102901,10290141,0,583.41,10.67,No,,Compliant,,,14,,24,18081
61,2015,Multifamily LR (1-4),Low-Rise Multifamily,GATEWOOD APTS,1975700600,City Road,7,DOWNTOWN,1900,1,4,48383,0,48383,"Multifamily Housing, Retail Store",Multifamily Housing,38172,Retail Store,10211,,,,75,61,69.9,129.6,139.4,2953338,3379678,915977,424619,1448859,5886,588563,0,112.06,2.19,No,,Compliant,,,14,,30,18081
62,2015,NonResidential,Hotel,ROOSEVELT HOTEL,1976700010,Maziad Road After Hilton Roundabout,7,DOWNTOWN,1930,1,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591,Parking,10043,Restaurant,5000,,46,69.7,73.8,201.1,213.8,6175812,6534220,0,1589324,5422999,7530,753040,0,77.8,0.55,No,,Compliant,,,14,,24,18081
63,2015,NonResidential,Hotel,SHERATON HOTEL,1976700095,"Unit RA 029, Wahat Hili Mall, Baniyas Street, Hili District",7,DOWNTOWN,1982,1,34,994212,146694,847518,"Hotel, Parking, Swimming Pool",Hotel,994212,Parking,117668,Swimming Pool,0,,60,85.9,89.3,187.3,191.6,85357952,88771488,16229832,13200400,45041634,240884,24088353,0,2846.07,2.67,No,,Compliant,,,14,,24,18081
65,2015,NonResidential,Hotel,INN AT THE MARKET,1977200050,"Al Ain Street, Al Jahli",7,DOWNTOWN,1985,1,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340,Parking,13730,Retail Store,9604,,99,87.8,87.8,203.3,203.3,5040382,5040382,0,894784,3053131,19874,1987378,0,126.83,1.6,Yes,,Compliant,,,14,,30,18081
66,2015,NonResidential,Hotel,MOORE HOTEL & THEATRE,1977201035,"Yas Island, Abu Dhabi",7,DOWNTOWN,1908,1,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360,Other - Entertainment/Public Assembly,26450,Retail Store,8000,,99,41.4,50.8,65.7,75.6,5086863,6240104,0,382671,1305729,37812,3781188,0,209.92,1.66,No,,Compliant,,,5,,30,18081
67,2015,NonResidential,Hotel,QUALITY INN & SUITES - SEATTLE,1991200730,Al Ruwais,7,LAKE UNION,1959,1,5,113173,42546,70627,,,,,,,,,86,70.6,73.1,166.6,174.3,4988241,5160438,0,915988,3125480,18629,1862890,0,120.73,0.95,No,,Compliant,,,56,,40,18390
68,2015,NonResidential,Hotel,HOLIDAY INN - SEATTLE,1991200935,Al Shamkha,7,LAKE UNION,2000,1,7,150453,34735,115718,"Hotel, Restaurant",Hotel,107547,Restaurant,3000,,,2014,83,60.8,62.6,131.7,133.4,6722886,6921805,0,1051118,3586563,31365,3136472,0,191.58,1.17,No,,Compliant,,,56,,7,18390
69,2015,NonResidential,Hotel,HOLIDAY INN EXPRESS - DOWNTOWN SEATTLE,1991200940,"Near Mall of Emirates, Ground Floor",7,LAKE UNION,1997,1,6,116300,28200,88100,"Hotel, Parking",Hotel,88490,Parking,28300,,,,84,68,69.7,147.8,150.3,6014078,6169676,0,948984,3238067,27761,2776145,0,170.01,1.34,No,,Compliant,,,56,,7,18390
70,2015,NonResidential,Hotel,HOMEWOOD SUITES HOTEL - SEATTLE,1992200235,"Jumeirah, Near Spinney's",7,MAGNOLIA / QUEEN ANNE,1998,1,6,155602,36744,118858,Hotel,Hotel,155602,,,,,,81,44.4,44.1,108,106.8,6915293,6855303,0,1338290,4566435,23490,2349046,0,156.59,0.88,No,,Compliant,,,50,,40,19575
73,2015,NonResidential,K-12 School,SEATTLE HEBREW ACADAMY,2125049015,"Reel Cinema, Dubai Mall, Second Floor",3,EAST,1911,1,3,56072,0,56072,K-12 School,K-12 School,56072,,,,,,77,55.4,72.3,78.7,98.6,3106930,4055974,0,161293,550355,25566,2556597,0,139.62,2.45,No,,Compliant,,,36,,6,18789
77,2015,NonResidential,Hotel,COMFORT SUITES SEATTLE CENTER,2249000170,"Dubai Airport Rd, Terminal 3",7,MAGNOLIA / QUEEN ANNE,1999,1,4,122942,44891,78051,"Hotel, Parking",Hotel,78051,Parking,44891,,,,94,67.6,68,135.3,136.5,5276777,5306165,0,703564,2400660,28762,2876216,0,169.49,1.29,No,,Compliant,,,56,,40,18390
82,2015,NonResidential,Small- and Mid-Sized Office,WA DEPT OF SOCIAL & HEALTH SERVICES,2254501944,"Safa Street, Jumeirah 1, Jumeirah District",3,CENTRAL,1962,1,2,54984,0,54984,Office,Office,54984,,,,,,65,63.7,71.3,149.8,157.8,3504957,3921971,0,639274,2181293,13238,1323754,0,85.51,1.38,No,,Compliant,,,9,,17,19578
84,2015,NonResidential,Senior Care Community,PROVIDENCE MT ST VINCENT,2324039001,DIFC Building No. 5,1,SOUTHWEST,1922,1,5,217603,0,217603,"Parking, Senior Care Community",Senior Care Community,296313,Parking,0,,,,50,153.5,170.9,246.4,264.6,45494324,50629892,0,3540510,12080722,334141,33414103,0,1858.84,8.3,No,,Compliant,,,1,,50,19581
85,2015,NonResidential,Senior Care Community,FOSS HOME AND VILLAGE,2426039059,Down Town Burj,5,NORTHWEST,1970,1,2,93397,0,93397,Senior Care Community,Senior Care Community,93397,,,,,,1,175.3,180.8,313.8,320.7,16371764,16886622,0,1699219,5797976,105740,10574028,0,602,6.18,No,,Compliant,,124,6,1,32,19582
86,2015,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,2467400430,Sheikh Zayed Road,7,LAKE UNION,2008,1,6,84103,20732,63371,"Hotel, Parking",Hotel,63371,Parking,20732,,,,68,62.8,63.8,164.1,164,3979132,4045411,0,872126,2975816,10034,1003439,0,74.04,0.73,No,,Compliant,,,56,,10,18390
87,2015,SPS-District K-12,K-12 School,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),2518400005,Sheik Zayed,1,SOUTHWEST,1948,1,2,53352,0,53352,K-12 School,K-12 School,53352,,,,,,,,,,,,,,,,,,,,,Yes,Under construction starting 6/2013 (old building demolished) and ending 9/2016. New Building re-opened 9/2016. Year built changed from 1948 to 2016.,Compliant,Low Outlier,,54,,51,17920
89,2015,NonResidential,Medical Office,"POLYCLINIC MEDICAL OFFICE, NORTH BUILDING",1978201270,Dubai Airport,3,EAST,1965,1,3,179014,0,179014,Medical Office,Medical Office,179014,,,,,,48,105.4,110.9,221.6,224,18868768,19858448,0,2784469,9501003,93682,9368159,0,563.78,2.92,No,,Compliant,,,8,,12,19578
95,2015,NonResidential,Hotel,SORRENTO HOTEL,1979200270,"Near MOE Ski Area, Shop No K01A, West End Food Court",3,EAST,1908,1,7,76631,0,76631,Hotel,Hotel,76631,,,,,,24,94.4,93.9,175,173.4,7231928,7192445,0,815936,2784090,44480,4447953,0,255.64,3.18,Yes,,Compliant,,,19,,12,18379
96,2015,NonResidential,Mixed Use Property,PUGET SOUND BLOOD CENTER,1979200290,"Al Khawaneej Road, Al Rashidiya",3,EAST,1983,1,6,187600,18493,169107,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174,Parking,20868,Office,17020,,,201.5,203.8,509.3,502.9,15240688,15416397,4816083,3055277,10425038,0,0,0,444.42,2.13,No,,Compliant,,,19,,12,18379
98,2015,NonResidential,Retail Store,FIRESTONE TIRE AND RUBBER CO,1983200230,Burj Dubai,7,LAKE UNION,1929,1,2,58320,0,58320,Retail Store,Retail Store,72072,,,,,,95,14.9,19.2,26.6,31.5,1074180,1383366,0,110291,376328,6979,697867,0,39.69,0.65,No,,Compliant,,,56,,10,18390
100,2015,NonResidential,Large Office,CITY PLACE III,1983200325,"Dubai Palm Island, Located in Dolphin Bay",7,LAKE UNION,2010,1,5,316306,0,316306,"Office, Other, Parking, Retail Store",Office,261826,Parking,150726,Other,15139,,96,46.3,46.7,139.3,139.8,13300859,13429220,0,3654943,12471183,8302,830194,0,131.03,0.24,No,,Compliant,,,56,,10,18390
102,2015,NonResidential,Hotel,MARRIOTT RESIDENCE INN,1984200065,"Jumeirah Beach Road, Villa 23",3,LAKE UNION,1990,1,7,282863,44766,238097,"Hotel, Parking",Hotel,235788,Parking,51537,,,,40,79.9,85.3,178.1,186.6,18829136,20123722,0,3117920,10638785,81908,8190794,0,509.18,1.64,No,,Compliant,,,56,,10,18390
103,2015,Nonresidential COS,Other,KEY ARENA - SEATTLE CENTER,1985200003,"Shaikh Zayed Road, Ground Floor",7,MAGNOLIA / QUEEN ANNE,1962,1,1,129000,0,129000,Other,Other,368000,,,,,,,79.7,78.7,167.7,167.7,29337400,28974828,8560000,4194724,14312992,0,0,6464408,760.51,5.42,No,,Compliant,,,50,,40,18390
