user,activity,timestamp,x-axis,y-axis,z-axis,Date,Total_Distance,Very_Active_Distance,Moderately_Active_Distance,Light_Active_Distance,Sedentary_Active_Distance,Very_Active_Minutes,Fairly_Active_Minutes,Lightly_Active_Minutes,Sedentary_Minutes,Steps,Calories_Burned
14,Jogging,6.07E+13,3.87,7.74,0.46,4/19/2016,7.099999905,2.099999905,2.130000114,2.869999886,0,35,41,195,659,10742,2046
14,Upstairs,5.82E+13,9.28,8.24,0.42,5/2/2016,7.289999962,2.609999895,0.340000004,4.329999924,0,36,8,277,1119,10379,2473
28,Walking,2.08E+12,-2.96,16.13,-0.7218784,4/20/2016,3.230000019,0,0,3.230000019,0,0,0,151,1289,4974,1446
28,Walking,2.13E+12,0.93,11.99,1.0760075,5/5/2016,7.010000229,1.00999999,0.5,5.510000229,0,14,8,370,1048,10611,2262
17,Walking,5.79E+13,-0.10896278,12.217452,3.486809,4/12/2016,6.829999924,2,0.620000005,4.199999809,0,28,13,320,964,10113,2344
29,Upstairs,9.35E+12,5.75,8.81,-0.19068487,5/3/2016,3.220000029,0,0,3.150000095,0.050000001,0,0,174,950,4496,2828
9,Walking,7.21E+12,-4.94,10.8,0.89,5/6/2016,7.119999886,0.819999993,0.270000011,6.010000229,0.02,11,6,369,1054,9787,3328
14,Upstairs,5.79E+13,7.86,7.78,10.12,5/7/2016,2.599999905,0,0,2.599999905,0,0,0,229,665,4193,1491
33,Jogging,4.91E+13,-4.7535014,4.2086873,11.141444,4/20/2016,1.769999981,0,0,1.75999999,0.01,0,0,125,1315,2436,2430
12,Jogging,1.74E+13,-0.42,12.07,-0.38,4/23/2016,4.210000038,0,0,4.210000038,0,0,0,249,1191,6001,2069
22,Walking,7.64E+11,9.34,9.53,1.23,4/23/2016,8.069999695,0,4.21999979,3.849999905,0,0,92,252,724,12058,1638
7,Jogging,2.08E+14,-15.32,16.74,3.53,4/16/2016,7.090000153,3.150000095,0.550000012,3.390000105,0,41,11,151,1237,10100,2177
11,Walking,1.54E+12,0.46,5.9,-0.53119355,4/23/2016,0,0,0,0,0,33,0,0,1407,0,2664
20,Upstairs,2.39E+12,1.61,9.34,0.88532263,4/20/2016,1.389999986,0,0,1.389999986,0,0,0,137,841,2072,1974
5,Downstairs,2.62E+12,7.82,18.16,5.5162406,4/18/2016,0.039999999,0,0,0.039999999,0,0,0,2,1438,62,1995
7,Upstairs,2.09E+14,10.5,2.11,-2.83,5/7/2016,3.539999962,0,0,3.539999962,0,0,0,158,851,4468,2799
33,Upstairs,4.96E+13,0.9942854,13.865514,1.334794,4/19/2016,8.409999847,0,0,8.409999847,0,0,0,480,425,11135,2606
11,Jogging,5.69E+13,-3.34,3.72,-1.95,4/13/2016,0,0,0,0,0,0,0,0,1440,0,1496
10,Jogging,4.74E+12,4.4,13.21,6.7,4/26/2016,7.210000038,0.800000012,1.720000029,4.690000057,0,11,41,223,1165,9919,3123
12,Sitting,1.86E+13,8.12,-2.18,4.02,5/6/2016,3.029999971,0,0,3.029999971,0,0,0,229,809,4514,2211
34,Walking,1.33E+12,-1.95,14.98,-3.95,5/5/2016,5.639999866,2.5,0.469999999,2.670000076,0,45,21,143,1153,7550,3004
31,Walking,2.29E+13,-1.04,11.14,2.6,4/20/2016,4.110000134,0,1.039999962,3.069999933,0,0,27,167,1246,5273,2647
33,Sitting,6.91E+11,5.79,2.6,7.78,4/19/2016,4.440000057,0,0,4.440000057,0,0,7,382,648,6711,2346
30,Downstairs,1.05E+12,-9.34,6.74,2.91,4/23/2016,10.18000031,4.5,0.319999993,5.349999905,0,58,5,215,749,13236,3306
19,Downstairs,1.31E+14,-0.95,18.12,-5.05,5/10/2016,6.650000095,2.559999943,0.75,3.349999905,0,104,37,194,639,8869,3841
29,Jogging,8.26E+12,8.43,2.41,5.7477865,4/27/2016,0,0,0,0,0,0,0,1,1439,4,1348
22,Jogging,1.04E+12,2.11,-0.69,0.72,4/20/2016,4.269999981,0.330000013,0.819999993,3.109999895,0.01,5,18,216,1201,6466,1931
27,Walking,1.07E+13,4.67,2.83,-4.140586,5/12/2016,2.230000019,0,0,2.230000019,0,0,0,68,241,2752,1240
16,Walking,5.58E+12,-1.08,6.02,-0.38136974,5/6/2016,4.559999943,0.140000001,1.190000057,3.230000019,0,2,22,166,1250,5843,2683
31,Jogging,2.39E+13,-2.53,-2.96,-6.59,4/23/2016,5.409999847,0.129999995,1.129999995,4.150000095,0,2,25,223,1190,8093,2284
31,Jogging,2.34E+13,-19.23,16.93,3.79,4/24/2016,2.160000086,0,0,2.150000095,0,0,0,125,566,3520,2049
28,Upstairs,2.82E+12,0.23,7.4,1.1849703,4/14/2016,0,0,0,0,0,0,0,0,1440,0,1496
20,Jogging,1.52E+12,8.31,0.23,1.9477097,5/9/2016,4.75,0,0,4.730000019,0.02,0,0,264,800,6277,2175
12,Sitting,1.87E+13,8.2,-1.99,3.83,4/18/2016,5.210000038,0,0,5.190000057,0.02,0,0,271,1169,6885,2766
31,Walking,2.27E+13,-5.37,9.81,-3.26,4/25/2016,4.090000153,0,0,4.090000153,0,0,0,416,1024,5995,2010
15,Jogging,5.18E+11,-0.08,10.46,-3.1463003,4/28/2016,11.30000019,4.929999828,0.379999995,5.96999979,0,58,8,231,1143,14890,3060
1,Walking,5.72E+12,-6.32,4.48,-0.65,4/26/2016,7.190000057,1.429999948,0.660000026,5.110000134,0,55,24,275,1086,10119,2793
6,Upstairs,4.03E+12,-1.46,9.77,0.313268,4/16/2016,2.25999999,0,0,2.25999999,0,0,0,147,1293,3414,1657
26,Walking,1.23E+12,4.9,10.23,-2.98,4/15/2016,6.059999943,1.049999952,1.75,3.25999999,0,15,42,183,644,9010,1468
17,Upstairs,3.47E+13,1.12,8.2,-1.5,4/19/2016,8.779999733,2.24000001,2.450000048,3.960000038,0,19,67,221,738,12414,1638
14,Jogging,5.99E+13,-7.44,1.76,2.45,5/6/2016,3.369999886,0.469999999,0.930000007,1.929999948,0,12,35,75,1318,4697,2496
17,Walking,3.52E+13,-1.95,14.21,-1.84,4/28/2016,7.320000172,1.129999995,0.419999987,5.769999981,0,14,9,232,738,9023,3033
27,Jogging,1.10E+13,-19.61,-14.02,-2.4925237,5/6/2016,5.079999924,0,0,5.079999924,0,0,0,383,511,8198,1736
31,Walking,2.28E+13,-5.71,17.97,-4.29,4/17/2016,6.369999886,2.25,0.569999993,3.549999952,0,29,13,186,1212,8757,3011
24,Walking,1.49E+13,-12.45,19.27,-2.15,4/29/2016,7.75,3.74000001,1.299999952,2.710000038,0,36,32,150,744,10645,1545
19,Jogging,1.30E+14,-5.09,-6.59,0.34,4/15/2016,1.590000033,0,0,1.590000033,0,0,0,126,937,2483,2009
17,Downstairs,3.47E+13,0.38,8.92,-0.99,4/15/2016,6.920000076,0.07,1.419999957,5.429999828,0,1,24,284,720,10465,2133
20,Sitting,5.91E+13,-3.06,3.02,9.08,4/12/2016,4.03000021,0,0,3.940000057,0,0,0,164,1276,5394,2286
27,Jogging,1.10E+13,1.54,5.05,1.607201,4/26/2016,5.789999962,1.850000024,0.050000001,3.869999886,0.01,22,2,333,1083,8283,2057
2,Jogging,1.02E+13,-2.96,0.38,0.38,4/30/2016,1.789999962,0.159999996,0.159999996,1.480000019,0,3,9,84,1344,2503,2280
22,Walking,7.72E+11,2.37,7.06,7.82,5/2/2016,5.21999979,0,0,5.21999979,0,0,0,383,1057,7891,2066
32,Walking,2.44E+13,-1.31,1.65,-1.4982382,4/14/2016,6.420000076,3.329999924,0.310000002,2.779999971,0,118,30,176,662,8596,4022
17,Walking,3.50E+13,2.41,13.53,-2.14,5/7/2016,3.380000114,2.279999971,0.550000012,0.550000012,0,75,11,52,1302,4940,1897
19,Walking,1.31E+14,-2.03,-2.49,0.91,5/3/2016,3.480000019,0.600000024,0.280000001,2.599999905,0,21,10,237,1172,5267,1953
8,Walking,1.10E+14,6.09,13.99,-1.42,4/27/2016,5.139999866,1.809999943,0.400000006,2.930000067,0,63,16,190,773,6805,3294
19,Upstairs,1.31E+14,-12.98,15.79,2.75,4/25/2016,7.429999828,0.49000001,0.819999993,6.110000134,0,6,15,270,730,9167,3064
13,Jogging,2.29E+12,-1.08,1.61,4.140586,4/22/2016,0.460000008,0,0,0.460000008,0,0,0,20,1420,637,1922
2,Jogging,8.96E+12,-2.75,1.42,-5.6,5/5/2016,3.50999999,0,0.389999986,3.109999895,0,0,11,223,1206,5202,1780
20,Jogging,1.76E+12,0.76,-2.07,-0.19068487,5/12/2016,2.369999886,0,0.25,2.109999895,0,0,8,105,127,3587,928
8,Walking,1.10E+14,4.75,7.25,0.27,4/21/2016,0,0,0,0,0,0,0,0,1440,0,1980
19,Jogging,1.30E+14,-15.75,2.34,-1.57,4/22/2016,16.30999947,10.22999954,0.029999999,5.96999979,0.050000001,61,2,236,1141,18258,3427
14,Downstairs,5.77E+13,3.17,6.97,-5.56,4/22/2016,2.670000076,0,0,2.660000086,0.01,0,0,86,1354,3673,2344
32,Walking,2.44E+13,-6.47,4.44,1.0760075,5/8/2016,8.109999657,1.080000043,0.200000003,6.800000191,0,17,4,245,1174,10686,2847
20,Walking,3.35E+11,2.91,4.02,2.070293,4/25/2016,4.21999979,0,0,4.199999809,0.02,0,0,202,1238,6497,1492
6,Walking,3.72E+12,14.37,2.37,4.0180025,4/15/2016,5.150000095,0.589999974,0.839999974,3.730000019,0,17,30,262,1131,7795,2121
18,Jogging,1.79E+13,-4.9,13.38,-5.284695,5/2/2016,5.559999943,1.120000005,0.349999994,4.070000172,0,37,20,235,732,7439,3014
29,Downstairs,8.98E+12,2.83,7.4,0.8036005,5/1/2016,0.519999981,0,0,0.519999981,0,0,0,40,1400,772,1403
4,Walking,2.78E+12,-1.76,6.21,-4.33,4/28/2016,4.880000114,1.370000005,0.289999992,3.220000029,0,15,8,190,804,7114,1407
35,Jogging,1.43E+12,10.38,13.57,3.5957718,4/18/2016,4.639999866,1.080000043,0.200000003,3.349999905,0,20,7,343,1070,6798,2014
11,Walking,1.73E+12,-0.72,14.29,-1.9885708,4/19/2016,5.440000057,0.879999995,0.370000005,4.190000057,0,10,8,179,757,6708,2812
31,Jogging,2.40E+13,-3.64,5.63,2.72,4/21/2016,9.710000038,3.99000001,2.099999905,3.50999999,0.109999999,53,27,214,708,11835,2179
14,Upstairs,5.81E+13,7.93,9.11,-1.57,4/22/2016,2.619999886,0,0,2.609999895,0.01,0,0,206,1234,3843,1669
20,Walking,1.20E+12,-5.71,8.31,-3.759216,5/6/2016,3.130000114,0,0,3.099999905,0.01,0,0,177,855,4369,2704
16,Walking,5.88E+12,9.34,4.37,6.1700177,4/18/2016,3.910000086,0,0,3.890000105,0,0,0,241,759,5153,2018
8,Downstairs,1.12E+14,-0.04,7.7,1.46,5/10/2016,4.199999809,0,0,4.199999809,0,0,0,290,1150,6227,1899
13,Downstairs,2.91E+12,0.5,10.38,2.9147544,5/4/2016,1.960000038,0,0,1.960000038,0,0,0,180,897,2923,2070
27,Downstairs,1.19E+13,-11.45,19.5,-4.9850473,4/24/2016,3.319999933,0,0,3.319999933,0,0,0,199,720,5029,1705
32,Downstairs,2.51E+13,5.01,4.82,-6.3607025,4/28/2016,5.409999847,2.160000086,0.340000004,2.910000086,0,28,7,213,1192,7913,1835
20,Walking,4.84E+11,0.31,16.7,2.9556155,4/18/2016,12.65999985,9.079999924,0.230000004,3.349999905,0,102,6,195,1137,17076,3133
36,Upstairs,1.47E+13,-1.53,8.58,3.9090397,4/14/2016,0.779999971,0,0,0.779999971,0,0,0,84,853,1219,1963
12,Jogging,1.83E+13,2.3,-5.9,-7.82,4/15/2016,5.079999924,0,0,5.059999943,0.02,0,0,335,1105,7451,1908
14,Upstairs,5.82E+13,7.44,6.17,-0.46,4/13/2016,5.119999886,0,0.219999999,4.880000114,0.02,0,8,404,1028,7618,2004
24,Downstairs,1.59E+13,-1.8,11.35,0.23,5/11/2016,2.039999962,0,0,2.039999962,0,0,0,112,1328,3134,1359
22,Walking,9.45E+11,5.09,8.2,0.76,4/17/2016,6.710000038,0.330000013,0.680000007,5.690000057,0,5,13,295,634,10145,2027
27,Jogging,1.10E+13,2.98,4.56,-2.6423476,4/26/2016,7.28000021,0.939999998,1.059999943,5.269999981,0,14,23,224,673,9461,2929
1,Jogging,6.29E+12,2.37,0.65,-3.83,4/22/2016,4.71999979,0,0,4.71999979,0,0,0,302,1138,6238,2796
10,Walking,3.68E+12,2.49,10.76,1.23,5/5/2016,7.539999962,0,0,7.539999962,0,0,0,475,479,12167,1926
19,Upstairs,1.31E+14,-1.42,9.85,-0.11,4/17/2016,6.400000095,0.550000012,1.139999986,4.710000038,0,7,19,304,1110,9634,2117
6,Walking,3.56E+12,5.71,13.87,-0.6537767,5/6/2016,10.13000011,2.109999895,2.089999914,5.929999828,0,33,45,262,1100,13175,3425
23,Jogging,1.30E+12,-5.79,18.96,18.43,4/16/2016,11.11999989,4.099999905,1.879999995,5.090000153,0,51,42,212,1135,15300,3493
14,Walking,5.93E+13,4.37,10.23,-2.91,4/26/2016,3.039999962,1.179999948,0.49000001,1.370000005,0,19,14,108,1299,4562,1813
1,Downstairs,6.76E+12,3.87,10.38,3.41,4/27/2016,6.820000172,0.550000012,2.019999981,4.25,0,7,38,279,697,10320,2034
29,Downstairs,9.11E+12,-3.6,7.01,-1.607201,4/15/2016,3.529999971,0,0,3.529999971,0,0,0,202,1238,5273,2098
3,Jogging,1.01E+14,-8.35,-8.24,-12.49,4/26/2016,7.070000172,4.159999847,0.769999981,2.119999886,0,70,33,132,726,10387,2781
12,Sitting,1.87E+13,8.08,-2.22,4.18,4/19/2016,1.5,0,0,1.5,0,0,0,141,785,2424,1356
26,Jogging,8.06E+11,1.5,-0.27,-9.58,5/5/2016,9.489999771,2.630000114,1.409999967,5.449999809,0,27,34,328,957,13658,2530
12,Jogging,1.75E+13,-2.72,-6.4,13.44,4/28/2016,6.25,0.02,0.270000011,5.949999809,0,1,11,367,985,9451,2185
33,Standing,5.75E+11,0.04,9.96,1.42,5/6/2016,8.380000114,3.819999933,1.429999948,3.119999886,0,84,35,154,834,12461,2924
33,Walking,1.12E+13,4.48,7.97,1.6889231,4/20/2016,7.130000114,0.159999996,1.230000019,5.730000019,0,2,29,260,717,8793,3061
26,Downstairs,1.99E+12,4.67,3.57,-2.53,4/27/2016,9.729999542,6.599999905,0.270000011,2.869999886,0,77,5,129,1229,12474,3142
13,Jogging,1.46E+12,3.38,13.95,-3.1054392,4/29/2016,4.900000095,0.25,0.360000014,4.269999981,0,3,7,172,767,6175,2982
14,Walking,6.00E+13,-4.75,5.56,-1.33,4/26/2016,3.680000067,0,0,3.680000067,0,0,0,288,1018,5933,1595
29,Walking,7.95E+12,8.05,15.7,-4.862464,4/29/2016,14.30000019,4.309999943,2.049999952,7.949999809,0,55,42,382,961,20067,3180
23,Walking,3.28E+11,-1.23,4.14,-5.79,5/10/2016,0,0,0,0,0,0,0,0,1440,0,1347
24,Jogging,1.53E+13,-1.33,-5.43,6.55,4/30/2016,2.670000076,0,0,2.650000095,0,0,0,184,218,4014,1763
31,Standing,2.51E+13,3.11,8.96,-0.61,4/14/2016,6.119999886,2.029999971,0.330000013,3.660000086,0,35,32,189,787,9123,2734
19,Walking,1.30E+14,5.52,9.96,1.65,4/24/2016,6.260000229,0,0,6.260000229,0,0,0,360,584,9471,2187
35,Standing,1.02E+11,2.6,9.34,2.98,4/29/2016,5.920000076,2.839999914,0.610000014,2.470000029,0,97,36,165,739,7924,3544
1,Walking,5.68E+12,-5.86,-2.75,-2.68,4/22/2016,1.870000005,0,0,1.870000005,0,0,0,120,1320,2824,1651
15,Walking,1.04E+12,7.35,10.92,2.9147544,5/9/2016,5.190000057,0,0,5.190000057,0,0,0,345,1095,7726,1906
8,Walking,1.11E+14,10.42,1.14,-3.11,4/21/2016,0.090000004,0,0,0.090000004,0,0,0,9,1431,144,1720
20,Sitting,5.89E+13,-0.91,3.76,9.34,4/25/2016,3.730000019,0,0,3.730000019,0,0,0,260,821,6017,1576
10,Jogging,4.63E+12,-5.2,15.09,-7.27,4/22/2016,4.900000095,0.460000008,0,4.420000076,0.02,46,0,366,1028,7286,2241
21,Walking,1.18E+14,1.14,11.96,8.43,4/16/2016,1.419999957,0.449999988,0.370000005,0.589999974,0,65,21,55,1222,1982,3051
23,Upstairs,1.97E+12,-2.87,13.38,2.49,5/1/2016,3.519999981,0.779999971,0.119999997,2.039999962,0,10,2,117,1311,4512,2596
34,Jogging,1.57E+12,-2.03,17.58,6.55,4/30/2016,9.239999771,5.829999924,0.790000021,2.609999895,0,207,45,163,621,12363,4501
26,Jogging,7.08E+11,-5.98,-1.42,-12.56,4/22/2016,5.960000038,2.329999924,0.579999983,3.059999943,0,33,12,188,731,8911,1481
3,Walking,1.01E+14,0.42,3.15,-1.8,4/26/2016,2.599999905,0,0,2.599999905,0,0,0,192,1058,3761,2638
26,Jogging,1.54E+12,4.52,10.57,-3.64,4/21/2016,17.62000084,12.28999996,0.419999987,4.889999866,0,82,13,226,1119,19377,3659
1,Walking,5.80E+12,-8.16,7.97,-0.15,4/30/2016,3.579999924,1.059999943,0.090000004,2.420000076,0.01,17,4,300,1119,5250,1946
18,Jogging,1.80E+13,-17.16,12.07,7.0553403,5/1/2016,3.50999999,0,0,3.50999999,0,0,0,240,741,5232,2246
27,Walking,1.05E+13,-0.61,13.99,-4.440233,4/14/2016,2.450000048,0,0,2.430000067,0,0,0,134,1306,3135,2443
1,Walking,5.05E+12,3.83,9.66,-1.61,4/25/2016,6.210000038,0,0.280000001,5.929999828,0,0,8,390,544,9259,2314
31,Walking,2.38E+13,-5.05,4.67,0.38,4/26/2016,4.949999809,0.07,0.349999994,4.539999962,0,1,8,216,765,6108,2784
11,Jogging,5.69E+13,-3.41,8.43,-3.26,5/11/2016,7.960000038,0.779999971,2.160000086,4.980000019,0,10,41,235,784,9810,3069
6,Downstairs,4.04E+12,6.63,7.08,2.1111538,5/11/2016,4.329999924,0,0,4.320000172,0.01,0,0,319,1121,6440,1826
28,Walking,1.95E+12,2.64,9.77,2.6014864,4/14/2016,11.11999989,4,2.450000048,4.670000076,0,61,41,256,693,17022,2324
31,Jogging,2.35E+13,-1.88,9.62,-1.8,4/12/2016,7.78000021,0,0,0,0,0,0,0,1440,10122,2955
3,Walking,1.01E+14,-1.27,2.6,-0.76,4/28/2016,6.840000153,0.200000003,2.319999933,4.309999943,0,3,53,227,1157,9405,3108
20,Upstairs,2.35E+12,0.65,4.33,0.7218784,4/25/2016,6.380000114,1.269999981,0.519999981,4.599999905,0,15,11,277,653,9482,2095
20,Jogging,1.50E+12,8.81,-3.6,-4.944186,4/27/2016,1.159999967,0,0,1.159999967,0,0,0,82,1358,1715,1481
19,Upstairs,1.31E+14,-3.79,3.06,-0.8,4/21/2016,12.51000023,9.670000076,0.25,2.579999924,0,100,6,170,1164,16057,3103
3,Jogging,1.01E+14,-3.6,3.38,5.24,4/20/2016,1.769999981,0,0,1.769999981,0,0,0,148,598,2713,1570
20,Sitting,5.88E+13,-1.27,3.57,9.43,4/17/2016,5.400000095,0,0,5.400000095,0,0,0,312,702,7150,2225
8,Sitting,1.12E+14,-0.65,-1.69,9.53,5/2/2016,5.920000076,0.379999995,1.74000001,3.75999999,0,5,40,195,1131,7245,2859
32,Walking,2.43E+13,-4.52,7.63,0.53119355,5/2/2016,8.399999619,3.769999981,0.079999998,4.550000191,0,33,4,204,935,10096,3147
20,Sitting,5.88E+13,-0.11,4.25,9.19,4/15/2016,3.829999924,0.219999999,0.150000006,3.450000048,0,3,4,170,1263,5263,2750
13,Walking,1.23E+12,0.65,11.56,4.903325,4/30/2016,0,0,0,0,0,0,0,0,1440,0,2064
31,Walking,2.38E+13,0.23,7.25,0.23,4/29/2016,0,0,0,0,0,0,0,0,1440,0,1980
27,Downstairs,1.19E+13,-12.34,19.57,3.336985,4/12/2016,6.119999886,0.150000006,0.239999995,5.679999828,0,4,15,331,712,8539,3654
29,Jogging,7.61E+12,13.8,16.82,-3.9499009,5/8/2016,10.43000031,0.680000007,6.210000038,3.539999962,0,9,125,192,1019,12857,3287
33,Walking,1.06E+13,-3.6,15.66,12.980191,4/13/2016,0.839999974,0,0,0.839999974,0,0,0,82,806,1320,1934
18,Jogging,1.80E+13,-11.11,10.31,7.205164,4/22/2016,9.670000076,4.909999847,0.589999974,4.179999828,0,113,12,159,769,12200,4044
31,Walking,2.36E+13,-1.54,4.37,-1.69,5/10/2016,8.779999733,0.07,5.400000095,3.309999943,0,1,115,196,676,13072,1630
28,Walking,2.11E+12,4.75,11.8,3.1463003,4/29/2016,5.360000134,0.449999988,0.790000021,4.119999886,0,6,18,289,624,7990,2175
5,Walking,1.24E+12,1.84,14.86,0.08172209,4/23/2016,0,0,0,0,0,0,0,0,1440,0,1980
8,Walking,1.10E+14,-1.88,12.64,-7.93,4/26/2016,3.950000048,0,0,3.950000048,0,0,0,227,732,5980,1861
20,Walking,5.40E+11,2.87,-0.72,1.2666923,4/30/2016,4.300000191,0.899999976,1.279999971,2.119999886,0.01,11,23,224,1182,6474,1655
13,Walking,1.17E+12,-2.53,10.08,9.534244,4/14/2016,1.029999971,0,0,1.029999971,0,0,0,86,862,1551,1466
20,Sitting,5.94E+13,-4.71,3.38,8.2,5/6/2016,7.670000076,3,0.810000002,3.859999895,0,44,13,247,1136,11459,2553
36,Jogging,1.35E+13,0.08,2.37,-5.202973,4/14/2016,2.680000067,0,0,2.680000067,0,0,0,191,1249,3973,1696
6,Jogging,3.07E+12,16.13,10.92,-12.067628,5/11/2016,7.25,1.389999986,0.589999974,5.269999981,0,72,10,184,763,9143,3788
23,Jogging,7.40E+11,-18.54,5.75,15.28,4/21/2016,9.079999924,0.419999987,0.970000029,7.699999809,0,6,21,432,844,13743,2486
23,Upstairs,2.09E+12,2.68,14.25,1.69,4/14/2016,6.03000021,0.340000004,1.029999971,4.650000095,0.01,6,25,370,1039,8844,2065
34,Walking,1.21E+12,-0.84,16.28,-2.26,5/7/2016,8.130000114,0.079999998,0.959999979,6.989999771,0,105,28,271,1036,12332,4142
33,Walking,1.08E+13,-4.06,6.82,4.630918,5/5/2016,0,0,0,0,0,0,0,0,1440,0,1841
34,Jogging,7.76E+11,-5.98,-7.4,-2.79,4/15/2016,10.85999966,4.159999847,1.980000019,4.710000038,0,58,38,239,689,16556,2254
1,Walking,5.17E+12,2.56,11.37,-0.08,4/14/2016,5.920000076,0,0,5.909999847,0.01,0,0,236,1204,9107,1572
29,Walking,7.12E+12,1.14,10.23,-4.7943625,4/12/2016,5.309999943,0,0,5.309999943,0,0,0,146,1294,8163,1432
11,Walking,1.93E+12,4.67,11.88,-2.8330324,5/6/2016,19.34000015,12.78999996,0.289999992,6.159999847,0,96,17,232,1095,21727,4015
6,Walking,3.83E+12,10.92,6.02,0.88532263,5/12/2016,2.589999914,0,0,2.589999914,0,0,0,108,825,3369,1623
26,Upstairs,1.90E+12,0.27,4.82,-3.3,4/27/2016,2.359999895,0,0,2.359999895,0,46,0,197,1197,3516,1966
20,Walking,1.41E+12,-2.03,8.85,0.14982383,4/25/2016,4.639999866,2.269999981,0.460000008,1.899999976,0,33,13,92,1302,6474,2484
20,Sitting,5.91E+13,-2.72,3.38,9.28,4/12/2016,5.909999847,0.109999999,0.930000007,4.880000114,0,2,21,356,1061,8796,1982
31,Walking,2.25E+13,2.91,13.06,0.89,4/29/2016,3.25,0,0,3.25,0,0,0,247,1082,4920,1856
17,Downstairs,3.46E+13,-3.57,13.1,-0.8,4/27/2016,2.200000048,0,0,2.200000048,0,0,0,118,1322,3032,2489
13,Jogging,1.53E+12,-1.12,-0.57,-6.510526,5/10/2016,0.159999996,0,0,0.159999996,0,0,0,17,1002,254,1141
6,Jogging,3.01E+12,3.53,1.95,-1.607201,4/30/2016,9.409999847,3.119999886,1.039999962,5.239999771,0,42,17,308,584,14560,2995
2,Walking,9.88E+12,-1.04,8.31,-4.56,5/2/2016,2.730000019,0.07,0.310000002,2.349999905,0,1,7,148,682,3758,2580
8,Downstairs,1.12E+14,-1.14,5.75,-1.73,5/4/2016,16.29999924,10.42000008,0.310000002,5.53000021,0,66,8,212,1154,18193,3477
8,Walking,1.11E+14,6.7,14.52,1.38,4/16/2016,0.01,0,0,0.01,0,0,0,3,1437,31,1635
36,Jogging,1.38E+13,0.11,16.51,-0.5720546,4/29/2016,7.389999866,1.379999995,0.170000002,5.789999962,0,18,5,210,1207,9733,2698
19,Standing,1.31E+14,-4.48,8.43,-1.31,5/10/2016,6.429999828,0.689999998,2.00999999,3.720000029,0,9,43,162,1226,8240,2846
