Conversation Number,Conversation
20,"May I help you find something , sir ? -- I'm looking for an engagement ring for my girlfriend . I have an idea of what she likes , but I want to surprise her with something special , too . -- We have all shapes , sizes , qualities and price ranges , do you know about the four Cs of picking a diamond ? -- I think so . Aren't the four Cs , cut , clarity , carat and color . -- You've got it . Tell me a little bit about what you might be wanted . -- Well , my price range is a 5,000 dollars to 7,000 dollars , I'm looking for a marquise cut on the wide band . -- You have good taste . Let my show you what I have . --"
21,Would you like a lift home ? -- That would be great . Thanks ! --
22,"Mike's Mechanics . Can I help you ? -- Yes , how do I get to your shop from Chilin ? -- Go straight up Zhongshan Road and you will see our sign on your right , after you pass the museum . -- Thank you very much . --"
23,"I think I going to need some iced water too . Is there an extra charge for that ? -- Yes , we charge 50 cents for water . -- That's fine . Could you give me some more napkins , too ? -- Sure . Do you need anything else ? -- Yes , I would also like some sweet and sour sauce and pepper . -- I'll put all that into the bag for you . -- Do I owe you anything for the sauce , pepper and napkins ? -- No , there is no charge for those . --"
24,"I'm looking for some blush . Do you still have some in peach rose ? -- Oh , yes , that is a beautiful color . It has been very popular blush this season . I have two left . -- Great , I'll take one . -- Have you heard about our special promotion this month ? If you purchase at least 18 dollar 50 cents in any Elizabeth Arden products , you will receive this black poke with a sample of lipstick , mascara and two shades of white shadow . -- Wow , that sounds like a bargain . I'm running low on facial moisturizer and toner . Could you ring those up for me too along with the blush ? -- I'd be glad to . Do you need anything else ? -- Oh , I almost forgot . It's my mum's birthday Saturday . I need to get her some more Chanel . Could you get me the 1.7 ounce bottle of Chanel cologne ? -- That would be my pleasure . I'll wrap the perfume up in the gift box for you too . --"
25,"Golden Taxi cabs , how may I help you ? -- Can you send a cab to pick me up ? -- Sure , where are you ? -- I'm on the corner of the Fifth and Mane . --"
26,"OK , I'm sorry it took so long . -- I understand . -- The phone has been ringing off the hook today . -- Some days are just like that . --"
27,"Hello , I need to get a cab . -- There is about a 15 - minute wait . -- That's fine . -- OK . Give me your address . --"
28,"Is Tom available please ? -- He's on the other line , can you hold for a minute ? -- Sure . -- He'll be right with you . --"
29,"Hi Bill , it ’ s Jane . -- Jane , I ’ m on the other line , can you hang on for a second ? -- Sure . -- OK , I ’ ll be right back . --"
30,Is Tom here ? -- Speaking . --
31,Looks like dinner's ready . -- Just about . --
32,May I try on this dress ? -- By all means . (= Of course . ) --
33,I made my little brother cry . -- Shame on you ! --
34,"Can I have the check please ? -- Right away , sir . -- Is this amount correct ? -- Yes , sir , it is . -- Thank you , the service was good -- Please come again . --"
35,"Are you through with your meal ? -- Yes , we are . Could we have the check please ? -- Here you go . I can take care of it here when you are already . -- Do you accept checks ? -- No , I'm sorry we don't . We accept credit cards and cash . -- Well , I don't have any cash with me , I'll have to put it on a credit . -- Thank you , I'll be right back . Do you need any to go boxes ? I'd be glad to bring you some when I come back . -- Yes , we do , thank you . --"
36,"I'm looking for some black pumps to go with my evening gown . Could you show me what you have ? -- Sure , we have several different styles you may choose . How high of a heel do you want ? -- Not to high , maybe an inch or an inch in the half would be the best . -- In that case , I might have just the pair for you . Look at these , they were made in Italy , the leather is very soft , so your toes will not get pinched . You can tell just by looking at it that it was superbly made . -- Those are beautiful . Do you have any in a size six ? -- Yes , we do , we also have this same style in dark blue and red . -- No , thank you . I'm just looking for a black pair . -- Let me go to the back and get them . I'll be right back . --"
37,"Are you OK ? -- I'm fine . I'm just so touched by the sad story . -- So I can say now that you must have enjoyed the opera . Which scene is your favorite ? -- I love them all . But if I had to name one as the best , I would say it's the ending . -- What's it about ? You know , I couldn't help falling asleep . -- Did you ? I didn't notice that . But still you should know it , for you have seen it with Laura before . -- I guess I've done the same thing last time I was here with her , too . I mean falling asleep . For me , this one is not that attractive . -- Then I doubt if you like operas at all . -- Yes . I like Carmen very much . But I don't mind if you want to tell me about this one . -- OK , then . The man was old and he was visiting his wife's grave , with a rose in his hand . When he got there , he saw someone already put a rose on her grave . -- Very impressive . And I do like the leading actress who has an amazing voice . -- Me , too . There was always a good round of applause every time she sings . -- Yes , the applause ! That was what kept waking me up during the show . -- And it's been such a faultless performance with the perfect lighting , and music . Just amazing ! -- No doubt , it's not a simple thing to put on a ' phantom show ' . -- Exactly . --"
38,Did anyone call ? -- Just Mr . White . -- What did he want ? -- He wouldn't say over the phone . --
39,"Could I have the check , please ? -- Okay . I'll just be a minute . --"
40,"Any phone calls for me while I was out ? -- Yes , your wife and your dentist called . -- Thank you . -- You're welcome ! --"
41,"Hello , may I help you ? -- Well , I'm looking for some winter clothes . And I notice you have pre-season sale on all your winter apparel . -- Yes , everything is 25 % off . -- Do you have any skirt that will go with this sweater ? -- Sure , we have both skirts and slacks that will go well with the sweater . I especially like this flowery skirt . It's very much in style this year . -- I don't think that shade of green will go with my complexion . Do you have any of those skirts in black or tan ? -- Look on the rack to your right . -- Oh , yes . Just show me where the fitting rooms are now . I can't wait to try this on . --"
42,"May I help you ? -- Give me six-piece chicken nuggets , a large fries , and a large coke . -- You will need to wait a few minutes for fries . They're still in the fryer . -- That's fine . -- Your total comes to 7 dollars . -- Here's 20 . -- Thank you . Your cash back is 13 dollars . Pull into a parking states , and we'll bring you your fries in two minutes . -- Thanks . --"
43,"I'm sorry . Is that bicycle yours ? -- Yes , it is . What about it ? -- I backed into it while I was trying to get into the parking lot . -- I see . -- I'm really sorry . I'll face the music . -- Where did you hit it ? -- Right here . See the scratch ? -- Oh , Yes , I see it now . --"
44,How are we going to get there ? -- Let's take a cab . --
45,"Hi , sorry to have kept you waiting . -- That's all right . -- How are you ? -- Fine , and you ? --"
46,"Andrew's Hair Salon , this is Andrew . -- Andrew , this is Linda Chen . -- Hi Linda , what can I do for you ? -- I need to set up an appointment to get my hair fixed . -- For what day ? -- Tuesday morning . --"
47,I'm getting a tattoo tomorrow . -- Are you nuts ? --
48,"My mother bought me a new video game . -- What's it like ? -- Well , the hero is a Super Warrior . He has to fight the bad guys to find the treasure . -- Who are the bad guys ? -- There are a lot ! Two really bad ones are Giant Monster and Human Spider . -- Wow ! Where's the treasure ? -- It's in a dungeon , under a castle . -- How do you find it ? -- It's not easy to find . Anyway , you can come to my home after school today and try . -- Great ! --"
49,"I played the video game at Mike's home yesterday . -- What's it like ? -- It's really fantastic . The hero , Super Warrior , is so brave that he can defeat any enemies he meets . He runs through tunnels , swims under water , and climbs over bridges . It's really exciting ! -- And then ? -- I borrowed it from Mike yesterday . Why not have a try ? -- That's neat ! --"
50,Mrs . Sue ? -- Yes ? -- Mr . Brown will have to call you back in a little while . -- All right . But tell him I will only be here until four o'clock . --
51,"I lost my wallet . -- I'm sorry , that's bad luck . --"
52,"Mr . Zhang , are you still there ? -- Yes . -- Can she call you back ? She is about to start a meeting . -- That will be fine . --"
53,I'm going to the pub tonight . -- Don't get drunk . --
54,I'm sorry I'm late . -- Better late than never . --
55,"Hi ! This is John Li , is my car fixed yet ? -- Let me run and check . --"
56,"Hi ! This is Tome Smith . -- Yes , Mr . Smith ? -- Is my VCR ready ? -- No , it will be another hour . --"
57,"This skirt is too tight . I would like to return it please . Do I need to go to the customer's service desk ? -- I can help you with that . Do you still have your receipt ? -- No , I receive this as a birthday present , but the price tag is still on the skirt though . Will that be OK ? -- Oh , yes , that will help me a lot . -- Do you have any more skirts in this style ? I would like to find a size larger . -- I'm sorry . I think we're out of this skirt in this color . Do you want me to call another one of our store to see if it's available there ? -- No , that's all right . I'll just look for something else . -- Well , your refund total is 50 dollars . --"
58,"Nani Book Store . How can I help you ? -- Do you have the ' The man and the Sea ' by Ernest Hemingway ? -- Yes , we have one copy left . -- Can you hold it for me ? --"
59,"Would you ring these up for me here ? -- I would be happy to . Did you find everything you needed ? -- Yes , I did , thanks . -- The total is 200 dollars . Would you like to put that on Sears card ? -- No , I'll pay for it in cash . --"
60,"Benter's Books . -- Yes , I need to order a large number of Webster's dictionaries . -- We have several hundred in stock . -- Is there a discount for buying in large quantity ? --"
61,"I'm a little rushed . Is there any quicker way to get there ? -- Yeah , of course . You can take a taxi . -- How much will that run me ? -- It depends on traffic and distance , but it is reasonable . -- Do the drivers speak English ? -- Some are better than others . But , you shouldn't have a problem . -- Are they safe ? -- For the most part , yes . If you don't feel comfortable with it , then it is best not to take one at night . --"
62,Excuse me.Could you please tell me where the train station is ? -- It's two blocks down the road . --
63,"Diana's Flowers , Diana Lin's office , may I help you ? -- Is Diana in ? -- No , she's out for lunch . May I take a message ? -- Yes , please ask her to call John Smith . -- Ok , I'll make sure she gets the message . --"
64,What's for lunch ? -- Pork chops . --
65,"Could you have a taxi pick me up and take me to the airport before 1 p . m . ? -- What's your address , sir ? -- I live at 323 Park Street . -- Ok , someone will be there by 12:15 . -- What are your rates ? -- It's 2 dollars initially and 35 cents for each quarter mile . -- I have four very large suitcases . Will those fit in the taxi ? -- No , I'll send a larger vehicle to pick you up . --"
66,Do you think you can fix my computer ? -- I'll give it a try . --
67,"Ah , Oh ! Are you hurt ? -- I don't think so . I'm just shaken up a little . -- Maybe I'd better call an ambulance . -- No , don't bother . I think I'm OK . -- Are you sure ? -- Yes , it's OK . --"
68,Taxi ! -- Where would you like to go ? -- Please rush me to the railway station -- Get in and close the door . -- Can you speed up a bit ? -- Sorry . The road is too crowded . -- But I have no time to lose . -- But I can't help it . -- Can you drop me off here ? -- Sorry . We mustn't stop here . --
69,"Hello , is Sue there ? -- Who ? -- Sue John . -- You must have the wrong number . -- Oh , I'm sorry . --"
70,"I passed all the tests , Mom . -- Well done ! --"
71,"May I please speak to Robert ? -- There is no one here by that name . -- Is this 2517758 ? -- No , this is 2517759 . -- Oh , I'm sorry . -- That's all right . --"
72,"Is Tom in ? -- Wrong number . -- Isn't this Li's residence ? -- No , it is not . -- Oh , I'm sorry . --"
73,Let's eat out . -- Good idea . --
74,"May we see the wine list please ? -- Sure . Our special wine today is a 1989 Chardonnay . -- That sounds pretty good ! How much is it ? -- It's $ 4.25 cents by the glass . The whole bottle is $ 22.5 . -- I'd like a bottle please . -- I'll need to see your ID please . -- Here you go . -- Sorry about the inconvenience , you look so young . I had make sure you are over 21 years old . --"
75,Help ! Help ! -- What's the matter ? --
76,"Hello , is John in ? -- No , can I take a message ? -- No , I'll call back later . -- All right . --"
77,That's two for me and one for you . -- That's not fair ! --
78,"May I please speak to Tom ? -- Tom has gone to lunch . -- I'll just try him again . -- Do you want me to have him give you a call ? -- No , but what time do you expect him back ? -- He should be back in about forty minutes . --"
79,"Hello , is John in ? -- No , he's not . May I take a message ? -- Yes , would you leave him a message to call me ? -- Yes , what's your name ? --"
80,I can't finish this steak . -- That's all right . --
81,"Dad , how can we get to the zoo ? -- We can take a bus there . -- Does this bus go there ? -- I think so . -- Let's step in , Dad . -- No , it's too crowded . -- Dad . Here comes another bus . -- Fine . Let's get on . Oh , no , Judy ! Get off the bus quickly ! -- Why ? Dad ? -- We got on the wrong bus . --"
82,I'm trying to reach Robert please . -- Robert is not available at the moment . -- What time should I call back ? -- Around 3:30 . --
83,I can't find my keys . -- Where did you See then last ? --
84,"Can you connect me to Mary . Smith Hotel room ? -- Mrs . Smith has not checked in yet . -- Can you leave a message for her to call her office ? -- Yes , I'll see that she get the message when she checks in . --"
85,"May I please speak to Tom ? -- He's with someone right now , would you hold ? --"
86,"What's the best way downtown ? -- Let me see . It depends . -- Depends ? Depends on what ? -- If you are in a hurry , you should take a taxi . -- Is that expensive ? -- Yes , very . Believe it or not , it will cost you more than one hundred dollars . -- I am in no particular hurry . -- Take a bus then . It will only cost you 5 dollars . -- That's not so bad . --"
87,This is how you turn on the computer . -- I see . --
88,May I speak to Marry Lin please ? -- I'm sorry Marry is out right now . -- When will she be back ? -- Why don't you call back later this afternoon ? --
89,Let's go ! -- Where to ? --
90,I'd like to talk to Mr . White please ? -- He stepped out of the office for a little while . -- When is a good time to catch him ? -- In about twenty minutes . --
91,You stepped on my foot ! -- Sorry . I didn't mean to . --
92,"Somebody , please answer the phone . -- I've got it . --"
93,"Is Tom in ? -- No , he is at work now . -- May I have his office phone number please ? -- Sure . It's 289,1234 . --"
94,Do you mind if I smoke ? -- Go right ahead . --
95,Where are you going ? -- To the office . I'll be right back . --
96,"Jessie , I ’ m afraid I can ’ t come back home for dinner tonight . -- Not back home for dinner again ? That ’ s the third time this week ! -- I ’ m sorry . Our company has just opened . There are always too many things to handle . You know that . -- You don ’ t have to explain . Suit yourself . -- I apologize . You have my word , I ’ ll spend some time with you on the weekend . I promise . -- We ’ ll see . -- Thank you for understanding . I promise I ’ ll make it up to you . --"
97,I hate doing the damn laundry . -- Watch your language . --
98,"Sam , you ’ Ve got to forgive me . -- Forgive you for what ? -- I used your computer . And I ’ m afraid I ’ Ve erased your personal files accidentally . -- No ! Are you kidding me ? -- I ’ m afraid not . I apologize . -- I can ’ t believe it ! I have all my important personal documents stored in that computer . It ’ s no laughing matter . -- I told you I ’ m sorry . What can I do to make it up to you ? -- Well , you should be sorry ! Don ’ t ever use my computer again ! You can ’ t do anything now , it ’ s too late ! --"
99,"It looks to be a nice day today . -- Good , let's go for a drive . -- Okay , I'll get the car out of the garage . -- Great . --"
100,"Jim , could you do me a favor ? -- Sure , just ask . What can I do for you ? -- My car has a problem starting . Could you please take a look at it for me ? -- No sweat . It ’ s a piece of cake . -- Are you sure ? -- Absolutely . I ’ m a great mechanic . -- Thanks for helping me out . I really appreciate it . -- Anytime . --"
101,Could you baby-sit for me tonight ? -- I'd be glad to . --
102,How did you get the piano here ? -- It was hard work . -- You never did it on your own . -- It took three of us to move it . --
103,It sounds like Bob's getting out of bed . -- What time did he come in last night ? -- It was after 2 am . -- Who was he out with ? --
104,Are you ready to leave ? -- Give me a sec . --
105,Don't do that . You are asking for trouble . -- I don't care . --
106,"Shall we buy ? -- It really depends on you . -- But if you were me ? -- If I were you , I'd buy . --"
107,"It's time to go to bed . -- But mum , we're watching this movie . -- I don't care , it's school in the morning . -- Just 10 more minutes . --"
108,What are you eating ? -- Rice . -- Why ? -- Because it's supposed to be good for you . --
109,"It's your turn to go first . -- I went first last time . -- No , Mary went first last time . -- Oh , Okay . --"
110,"Shall we go out tonight ? -- Yeah , let's go Joe's Disco . -- We'd better ask dad first . -- Okay , but you ask him . --"
111,I'll cook dinner for you . -- Don't go to too much trouble . --
112,"Have you got any better ? -- That's the best there is . -- Okay , I'll take one . -- That'll be $ 200 , sir . --"
113,"Let me help you with that . -- Thanks very much . -- You really shouldn't be lifting this by yourself . -- I know , but there was nobody else . --"
114,Let's eat out . -- Why not ? --
115,Why aren't you going out ? -- It's raining cats and dogs . --
116,What are you doing tomorrow ? -- I'm going to work . -- What time will you be home ? -- Around 6 o'clock . --
117,What did you do today ? -- Played poker with my work friends . -- Did you win ? -- Of course . --
118,Hang out the clothes . -- But it's raining . --
119,Do you play mahjong ? -- Once in a while . --
120,You stink ! -- I'll go take a shower . --
121,"I cooked , so ... -- Okay ! I'll do the dishes . --"
122,"Hello , Mr . Brown . -- Hello . Can you help me ? -- Yes , I'm here to fix your pipes . -- Oh good , come in , please . --"
123,Here comes the bus . -- It's about time . --
124,"Can I have this shoe in the black please ? -- Of course , sir , I'll have a look in the back . -- Okay . -- I'm afraid I haven't got one in your size . --"
125,"Get up , you lazybones ! -- Just a minute . --"
126,Shall we start decorating the bedroom ? -- I've already started . -- When ? -- This afternoon . --
127,"How much is this ? -- You mean the large one or the small one ? -- The large one . -- They're on special this week . They've been reduced to five dollars . -- Is this the only kind you have ? -- No . We have some that are different in style but not in color . They're over there . Do you see the sign ? -- Oh , yes . I think I'll look at those over there before I decide . -- Very well . Just take your time . --"
128,Why did you stay home today ? -- I'm off today . --
129,My battery's flat in my mobile . -- Is that why you didn't return my call ? -- And I couldn't find another phone . -- That's okay . --
130,"Is there a doctor here ? -- No . -- Can you call an Ambulance ? -- Sure , what's happened ? --"
131,"I am a student in Cambridge University . I read your ad , I want to know something more about your room , please ? -- It's a big bedroom with a drawing room , facing a beautiful wood . -- Is there a bathroom ? -- No , but there is one downstairs , which my daughter used some years ago . -- It sounds good . Could I go and see it myself ? -- Certainly , you're welcome anytime . -- See you later ! -- ( after a while ) Good afternoon , Mrs . Smith . I called you just now . -- Welcome ! Come in , please ! -- Yes . -- This way please . Your room is upstairs ... Here it is . -- Wonderful ! A modest , comfortable room . Ah , a beautiful window , through which I can see a beautiful scene , and hear the birds singing . How nice ! -- Yes , if you want to wash something , there is a separate lavatory room outside . -- Excellent ! I like it ! When can I move in ? -- Anytime you like . -- OK . --"
132,"I wonder if you could help me ? -- Of course , what's the problem ? -- Could you take a picture of me to my friend ? -- Sure thing . --"
133,You just ran a red light . -- Did I ? --
134,"First you add the washing powder then you add the clothes . -- I take it you've done this before ? -- Yes , for the last 20 years . -- Good . --"
135,"Good afternoon , sir . Would you like a tea ? -- I'd rather have a cup of coffee . -- Of course sir , would you like milk and sugar with that ? -- Yes , please . Milk and two sugar . --"
136,He's going too slow . -- Pass him . --
137,"I stayed at Bob's last night . -- I was worried where you were . -- I guess I should have told you . -- Yes , you should have . --"
138,"Are you going to come home late tonight ? -- Yes , I've got to work overtime . --"
139,"Ah , Bob . Just the person I wanted to see . -- So what is it ? -- You gotta help me out this time , buddy . -- Another tough thing , I guess . --"
140,"Hi , Bob , what time will you be home tonight ? -- I'll be back late tonight . -- Why ? What's the problem ? -- I have a meeting with my General Manager . --"
141,"Anna , Would you like to dance ? -- I ’ d love to , but I ’ m a terrible dancer . I ’ m afraid I may step on your toes . -- Don ’ t worry about it . I ’ ll show you how . It ’ s a piece of cake . -- Thank you . I ’ ll try my best . --"
142,"Jodi , I must get a hold of Jim today , but I forgot his address and phone number . -- Don ’ t worry about it . I have his pager number right here . -- Really ? You ’ Ve helped me a lot . Thank you . -- Forget it . It ’ s nothing . --"
143,How's the chicken ? -- It's delicious . --
144,"Would you pour me some of that tea , please ? -- Okay . Say when . --"
145,"Would you care for a drink ? -- No , thanks . I'm fine . --"
146,"Hello , could I speak to Allison , please ? -- I'm sorry ; he's out at the moment . -- When do you expect him back ? -- I think he'll be back in about an hour at least . -- Well , may I leave a message ? -- Yes , of course . -- Would you please ask him to call Chris when he gets back ? -- Ok . Does he know your number ? -- I'm afraid he doesn't . My mobile is 139- 2477 - 4026 . -- 13924774026 . All right . Thanks for calling . Oh , hang on , someone's at the door that may be him , please hold on . --"
147,Welcome back . -- It's good to be home . --
148,How can I get to Lakeside Park ? -- Take the No . 7 bus . There's a bus stop just over there . -- Will it take me straight there ? -- Yes . No need to change . --
149,"I come home for lunch . -- How long have you got ? -- Only 1 hour . -- Okay , I'll make you some food . --"
150,"May I speak to Marry ? -- Marry is not in right now , she went shopping with her mum . -- Will it be too late if I call around ten this evening ? -- That's all right . We don't go to bed early . --"
151,"Hello . Excuse me . Do you know if there's a Commercial Bank around here ? -- Yes , go straight along Beijing Road and turn right . -- Straight on , and turn right . Is it far ? -- No , it's just a couple of minutes . -- Thanks very much . -- You're welcome . --"
152,We're broke . -- I can't believe it 。 --
153,"Where do you want to go ? -- I'm going to the hospital . -- Get in . I'll take you . -- About how much will it cost ? -- It will cost you $ 10 . -- By the way , what's the time ? -- You can see the time on the meter . I have radio time , you know . -- It's a quarter to 12 . Could you please drive a little faster ? -- Certainly . --"
154,I broke Mom's vase . -- She's going to kill you . --
155,Who broke my chair ? -- It wasn't me . --
156,"Man ! That car almost hit me ! -- Yeah , that was close . --"
157,Where can I get a good novel ? -- There's a bookstore just across the street . --
158,The washing machine isn't working again . -- It's not my fault . --
159,I'll treat you dinner . -- Don't be silly . Let's go Dutch . --
160,Where did this come from ? -- I have no idea . --
161,"Would you please put that cigarette out ? I get sick on it . -- You do ? OK , fine with me . -- Thank you so much . -- But I also want ya to do me a favor . -- What ? -- You gotta have some better deodorant . -- I ’ m sorry ? ! --"
162,"Do you mind if I get a lift in your car , please ? -- I don ’ t see any problem ; only the car is a bit old . -- Oh you ’ re so kind ! -- Get in . --"
163,"That'll be eight dollars , please . -- Here's ten . Keep the change . --"
164,"These are new arrivals . -- Let me have a look . -- Try them if you like . -- I like the fabric , but I don ’ t like the style . -- What about that one over there ? -- They are too bright . --"
165,Thank you for calling the Twin Theatre . -- What time does the next showing of Forrest Gump begin ? -- The next show is at two o'clock . -- What about the one after that ? --
166,"Do you have wool socks ? -- Yes . We have socks made of various materials . These socks are of imported wool . -- Can you guarantee the quality ? -- Yes , absolutely . -- Where are the panty-hose ? -- Here . We have black , white and transparent panty-hose here . --"
167,"Do you have any fresh baked donuts for sale yet ? -- They will be ready in about half an hour . Do you need anything else ? -- Yes , I'd like five croissants , too . -- It's going to be 3 dollars 40 cents . --"
168,"Taxi ! -- Yes , sir . Where to ? -- Wangfujing , please ! -- All right . -- Oh , I like the music on your radio . It's nice . -- Thank you ! I always tune to this program when driving . So what's your favorite program ? -- I like Winner's English very mush . You know the Beijing Olympic Games is right around the corner . We should learn English Well . It's on FM 96.6 , China Business Radio . You can get it on your radio too . -- But I don't speak English at all . -- That's OK . The program is especially for the beginners like us . -- Really ? When is it on ? -- It begins at 6:40 every morning , and it goes for 20 minutes . -- Thank you so much . I'll try and catch that . -- The radio has brought us lots of convenience . -- Yes , I can also learn about the traffic condition through it . -- With the development of the society and technology , radio is nearly everywhere . -- So we should take the advantage of it . --"
169,Do you have these shoes in a size 7 ? -- Yes . Let me get you a pair . --
170,What a mess ! -- Sorry . I'll clean it up . --
171,"I wonder if we can change to Channel 5 . -- Why ? -- I want to know what's on that channel . -- Oh , good . -- There is a football match . -- I prefer TV play to football . -- OK . Could you turn it down ? -- What are you going to do ? -- I'm going to listen to the radio . -- Maybe we can enjoy the TV play together . It's interesting . --"
172,"Excuse me , can you show me the cloisonn bracelet in the counter ? -- Sure . Let me get it for you . -- Can you also show me this one ? -- No problem . This one is made of pure gold . -- I think the cloisonn bracelet is more beautiful . -- You ’ re right . This one costs less , but is more beautiful . -- Will the luster fade out after some time ? -- No , we guarantee the quality . -- Ok . Can I try it on ? -- Certainly , the mirror is right here . --"
173,"Mommy , can I stay up until eleven o'clock ? -- No . Go to bed right now . --"
174,May I speak to Peter ? -- Who's calling ? --
175,"It's so boring . -- Don't you like it ? -- I don't . Is there anything worth watching on the other channel ? -- I think it's a basketball match on channel 5 . -- Do you mind if we switch over ? -- Well , I'd rather see a movie . -- What's the movie ? -- ' Star war ' . -- It must be interesting . -- Yes , you're right . --"
176,"Excuse me , what's the screen near your steering wheel for ? -- It's a portable TV . It's a popular thing now . -- Oh , that's new to me . So what's on everyday ? -- News about current affairs , documentaries , music , movies , noncommercial ads and so on . -- Is there anything interesting ? -- Yes , there are something good and informative . I think that many people underestimate the value of TV in education . -- I agree . Are there any commercials on the TV ? -- Of course . Because the TV stations need to make money from commercials between the programs . -- That makes a lot of sense . Does the TV work well ? -- Not always . It depends on the transmission of the satellite signals . -- I got it . Do you pay for the programs ? -- Yes , 50 Yuan per month . -- It is a little bit expensive , but it's worth it . -- Yeah . You know driving is boring . TV can get me out of the fatigue of driving . -- It can also entertain your passengers like me . -- That's the point . --"
177,"Jenny , you're too lazy . You should do some exercise . See , you're getting fat . -- Dad , it's raining outside . -- That is your excuse . -- All right , all right , I will go swimming with Peter this afternoon . -- Not just today . Go exercise everyday ! --"
178,"Peter , enough with your computer games . Go do your homework now . -- Can't I play more ? -- No ! Stop playing computer games ! -- Mom , I'll be finished soon . -- Peter , if you don't turn off your computer , then I won't allow you to play it again starting next week . --"
